INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
264689062,03/07/2023,21:32:00,MANHATTAN,INSIDE,30,0,DWELLING,MULTI DWELL - APT BUILD,Y,45-64,M,BLACK,25-44,M,BLACK,999923,241388,40.829217,-73.943363,POINT (-73.943363 40.829217)
261444577,01/04/2023,21:13:00,MANHATTAN,OUTSIDE,32,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,1001562,239443,40.823875,-73.937448,POINT (-73.937448 40.823875)
264689064,03/07/2023,14:18:00,BROOKLYN,INSIDE,72,0,COMMERCIAL,GROCERY/BODEGA,N,<18,M,BLACK,18-24,M,BLACK,982942,177558,40.654033,-74.004711,POINT (-74.004711 40.654033)
265674098,03/25/2023,02:38:00,BRONX,OUTSIDE,48,0,STREET,(null),Y,(null),(null),(null),25-44,M,BLACK,1015450,247021,40.84463555,-73.88723401,POINT (-73.88723401 40.84463555)
261968807,01/13/2023,22:12:00,MANHATTAN,OUTSIDE,23,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,(null),(null),(null),25-44,M,BLACK,997937,227357,40.79071,-73.950569,POINT (-73.950569 40.79071)
263399439,02/10/2023,16:55:00,BROOKLYN,OUTSIDE,60,0,COMMERCIAL,GROCERY/BODEGA,N,(null),(null),(null),18-24,M,WHITE,984503,148779,40.575042,-73.999086,POINT (-73.999086 40.575042)
265522984,03/22/2023,23:26:00,BRONX,OUTSIDE,44,0,STREET,(null),N,(null),(null),(null),18-24,M,WHITE HISPANIC,1010552,246556,40.84337521,-73.90493864,POINT (-73.90493864 40.84337521)
265643046,03/25/2023,03:00:00,QUEENS,OUTSIDE,105,0,STREET,(null),N,(null),(null),(null),18-24,F,BLACK,1051683,181831,40.66550398,-73.75693158,POINT (-73.75693158 40.66550398)
265187031,03/15/2023,16:53:00,BROOKLYN,OUTSIDE,73,0,COMMERCIAL,GROCERY/BODEGA,Y,<18,M,BLACK HISPANIC,<18,M,BLACK,1007301,184134,40.672053,-73.916899,POINT (-73.916899 40.672053)
263693794,02/15/2023,18:41:00,BROOKLYN,OUTSIDE,77,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1001088,183604,40.670612,-73.939299,POINT (-73.939299 40.670612)
264775620,03/09/2023,01:40:00,BRONX,OUTSIDE,52,0,STREET,(null),N,25-44,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,1013740,254095,40.864058,-73.89338,POINT (-73.89338 40.864058)
261964438,01/15/2023,23:23:00,BROOKLYN,OUTSIDE,81,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1002314,186877,40.67959248,-73.93487298,POINT (-73.93487298 40.67959248)
263357861,02/09/2023,14:30:00,MANHATTAN,OUTSIDE,7,0,STREET,(null),N,<18,M,BLACK,18-24,M,ASIAN / PACIFIC ISLANDER,986978,199303,40.713718,-73.990157,POINT (-73.990157 40.713718)
262205773,01/19/2023,11:31:00,MANHATTAN,OUTSIDE,26,0,STREET,(null),N,<18,M,BLACK HISPANIC,18-24,M,BLACK,996768,236361,40.815425,-73.954774,POINT (-73.954774 40.815425)
263558473,02/13/2023,18:57:00,BRONX,INSIDE,48,0,DWELLING,MULTI DWELL - APT BUILD,Y,(null),(null),(null),18-24,M,WHITE HISPANIC,1016118,250525,40.854253,-73.8848,POINT (-73.8848 40.854253)
265403527,03/20/2023,02:00:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1014095,178524,40.656636,-73.892433,POINT (-73.892433 40.656636)
